Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Leonid Ostrovskiy,Soviet Union,17-Jan-36,Riga,Soviet Union,Latvia,,,,,1,1966
Murtaz Khurtsilava,Soviet Union,5-Jan-43,Bandza,Soviet Union,Georgia,,,,,1,1966
Yozhef Sabo,Soviet Union,29-Feb-40,Uzhhorod,Hungary,,,,,,1,1966
Georgi Sichinava,Soviet Union,15-Sep-44,Gagra,Soviet Union,Georgia,,,,,1,1966
Valeriy Porkujan,Soviet Union,4-Oct-44,Kirovohrad,Soviet Union,Ukraine,,,,,1,1966
Anatoliy Banishevskiy,Soviet Union,23-Feb-46,Baku,Soviet Union,Azerbaijan,,,,,1,1966
Eduard Markarov,Soviet Union,20-Jun-42,Baku,Soviet Union,Azerbaijan,,,,,1,1966
Anzor Kavazashvili,Soviet Union,19-Jul-40,Batumi,Soviet Union,Georgia,,,,,1,1966
Viktor Bannikov,Soviet Union,28-Apr-38,Zhytomyrschyna,Soviet Union,Ukraine,,,,,1,1966
Erwin Vandendaele,Belgium,5-Mar-45,Metz,France,,Germany,Belgium,,,1,1970
Dimitar Yakimov,Bulgaria,12 augustus 1941,Šlegovo,Macedonia,,,,,,1,1970
Karol Dobiaš,Czechoslovakia,18-Dec-47,Handlová,Czechoslovakia,Slovakia,,,,,1,1970
Vladimír Hagara,Czechoslovakia,7-Nov-43,Piešťany,Czechoslovakia,Slovakia,,,,,1,1970
Alexander Horváth (Captain),Czechoslovakia,28-Dec-38,Mošovce,Czechoslovakia,Slovakia,,,,,1,1970
Andrej Kvašňák,Czechoslovakia,19-May-36,Košice,Czechoslovakia,Slovakia,,,,,1,1970
Ladislav Petráš,Czechoslovakia,1-Dec-46,Necpaly,Czechoslovakia,Slovakia,,,,,1,1970
